id,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
tt1588173,Warm Bodies,2013,PG-13,1h 38min,Comedy; Romance; ,1 February 2013 (USA),6.9,215679,378,https://www.imdb.com/title/tt1588173/reviews/_ajax?ref_=undefined&paginationKey=
tt1564367,Just Go with It,2011,PG-13,1h 57min,Comedy; Romance; ,11 February 2011 (USA),6.4,215475,271,https://www.imdb.com/title/tt1564367/reviews/_ajax?ref_=undefined&paginationKey=
tt0045152,Singin' in the Rain,1952,G,1h 43min,Comedy; Romance; ,11 April 1952 (USA),8.3,211370,664,https://www.imdb.com/title/tt0045152/reviews/_ajax?ref_=undefined&paginationKey=
tt0119643,Meet Joe Black,1998,PG-13,2h 58min,Romance; ,13 November 1998 (USA),7.2,208791,799,https://www.imdb.com/title/tt0119643/reviews/_ajax?ref_=undefined&paginationKey=
tt0795421,Mamma Mia!,2008,PG-13,1h 48min,Comedy; Romance; ,18 July 2008 (USA),6.4,208596,752,https://www.imdb.com/title/tt0795421/reviews/_ajax?ref_=undefined&paginationKey=
tt1411238,No Strings Attached,2011,R,1h 48min,Comedy; Romance; ,21 January 2011 (USA),6.2,208289,214,https://www.imdb.com/title/tt1411238/reviews/_ajax?ref_=undefined&paginationKey=
tt3464902,The Lobster,2015,R,1h 59min,Comedy; Romance; ,16 October 2015 (Ireland),7.2,207454,646,https://www.imdb.com/title/tt3464902/reviews/_ajax?ref_=undefined&paginationKey=
tt0117509,Romeo + Juliet,1996,PG-13,2h,Romance; ,1 November 1996 (USA),6.7,205296,576,https://www.imdb.com/title/tt0117509/reviews/_ajax?ref_=undefined&paginationKey=
tt0333766,Garden State,2004,R,1h 42min,Comedy; Romance; ,20 August 2004 (USA),7.4,204812,973,https://www.imdb.com/title/tt0333766/reviews/_ajax?ref_=undefined&paginationKey=
tt0251127,How to Lose a Guy in 10 Days,2003,PG-13,1h 56min,Comedy; Romance; ,7 February 2003 (USA),6.4,203365,383,https://www.imdb.com/title/tt0251127/reviews/_ajax?ref_=undefined&paginationKey=
tt0416320,Match Point,2005,R,2h 4min,Romance; ,20 January 2006 (USA),7.6,201777,786,https://www.imdb.com/title/tt0416320/reviews/_ajax?ref_=undefined&paginationKey=
tt0108399,True Romance,1993,R,1h 59min,Romance; ,10 September 1993 (USA),7.9,200842,537,https://www.imdb.com/title/tt0108399/reviews/_ajax?ref_=undefined&paginationKey=
tt1142988,The Ugly Truth,2009,R,1h 36min,Comedy; Romance; ,24 July 2009 (USA),6.4,199488,195,https://www.imdb.com/title/tt1142988/reviews/_ajax?ref_=undefined&paginationKey=
tt0376541,Closer,2004,R,1h 44min,Romance; ,3 December 2004 (USA),7.2,198838,952,https://www.imdb.com/title/tt0376541/reviews/_ajax?ref_=undefined&paginationKey=
tt0265208,The Girl Next Door,2004,R,1h 49min,Comedy; Romance; ,9 April 2004 (USA),6.7,197489,540,https://www.imdb.com/title/tt0265208/reviews/_ajax?ref_=undefined&paginationKey=
tt2674426,Me Before You,2016,PG-13,1h 46min,Romance; ,3 June 2016 (USA),7.4,197474,457,https://www.imdb.com/title/tt2674426/reviews/_ajax?ref_=undefined&paginationKey=
tt0431308,P.S. I Love You,2007,PG-13,2h 6min,Comedy; Romance; ,21 December 2007 (USA),7.0,197346,276,https://www.imdb.com/title/tt0431308/reviews/_ajax?ref_=undefined&paginationKey=
tt5726616,Call Me by Your Name,2017,R,2h 12min,Romance; ,19 January 2018 (USA),7.9,195583,951,https://www.imdb.com/title/tt5726616/reviews/_ajax?ref_=undefined&paginationKey=
tt0281358,A Walk to Remember,2002,PG,1h 41min,Romance; ,25 January 2002 (USA),7.4,195515,1010,https://www.imdb.com/title/tt0281358/reviews/_ajax?ref_=undefined&paginationKey=
tt0092890,Dirty Dancing,1987,PG-13,1h 40min,Romance; ,21 August 1987 (USA),7.0,194838,462,https://www.imdb.com/title/tt0092890/reviews/_ajax?ref_=undefined&paginationKey=
tt1155056,"I Love You, Man",2009,R,1h 45min,Comedy; Romance; ,20 March 2009 (USA),7.0,191014,234,https://www.imdb.com/title/tt1155056/reviews/_ajax?ref_=undefined&paginationKey=
tt0099653,Ghost,1990,PG-13,2h 7min,Romance; ,13 July 1990 (USA),7.0,190746,301,https://www.imdb.com/title/tt0099653/reviews/_ajax?ref_=undefined&paginationKey=
tt0959337,Revolutionary Road,2008,R,1h 59min,Romance; ,23 January 2009 (USA),7.3,190069,486,https://www.imdb.com/title/tt0959337/reviews/_ajax?ref_=undefined&paginationKey=
tt0098635,When Harry Met Sally...,1989,R,1h 35min,Comedy; Romance; ,21 July 1989 (USA),7.6,189079,326,https://www.imdb.com/title/tt0098635/reviews/_ajax?ref_=undefined&paginationKey=
