,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
4021,200218507,2020-12-11,1930,2,Rampart,510,VEHICLE - STOLEN,0,nan,300 S  RAMPART                      BL,34.0657,-118.2792
4022,201013303,2020-09-21,830,10,West Valley,664,"BUNCO, PETTY THEFT",32,F,19000    SHERMAN                      WY,34.2012,-118.5464
4023,200314959,2020-07-30,2110,3,Southwest,890,FAILURE TO YIELD,19,X,DALTON                       AV,34.0309,-118.3041
4024,200910984,2020-06-12,2230,9,Van Nuys,510,VEHICLE - STOLEN,0,nan,15000    SHERMAN                      WY,34.2012,-118.4596
4025,200618033,2020-11-14,1940,6,Hollywood,480,BIKE - STOLEN,26,M,6300 W  HOLLYWOOD                    BL,34.1016,-118.3271
4026,201705980,2020-02-13,745,17,Devonshire,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,F,8300    AMIGO                        AV,34.2215,-118.5379
4027,202007781,2020-03-20,1740,20,Olympic,310,BURGLARY,0,X,700 S  ARDMORE                      AV,34.0597,-118.302
4028,201818966,2020-10-16,230,18,Southeast,440,THEFT PLAIN - PETTY ($950 & UNDER),36,F,10300    AVALON                       BL,33.9429,-118.265
4029,201409893,2020-04-18,1143,14,Pacific,354,THEFT OF IDENTITY,32,M,12900    AGUSTIN                      PL,33.9755,-118.4213
4030,201900596,2020-02-06,1220,19,Mission,440,THEFT PLAIN - PETTY ($950 & UNDER),0,M,14000    VAN NUYS                     BL,34.2546,-118.4379
4031,201305511,2020-01-27,1400,13,Newton,510,VEHICLE - STOLEN,0,nan,43RD                         ST,34.0056,-118.2784
4032,201305652,2020-01-29,1200,13,Newton,626,INTIMATE PARTNER - SIMPLE ASSAULT,20,M,1400 E  48TH                         PL,33.9993,-118.2499
4033,201707698,2020-03-23,2000,17,Devonshire,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),26,F,19200    PARTHENIA                    ST,34.2283,-118.5514
4034,200305132,2020-01-21,530,3,Southwest,624,BATTERY - SIMPLE ASSAULT,30,M,4400    ARLINGTON                    AV,34.0037,-118.318
4035,211220006,2020-09-15,1750,12,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,HOOVER                       ST,33.9957,-118.2872
4036,201817341,2020-09-16,1830,18,Southeast,761,BRANDISH WEAPON,37,F,10800    COMPTON                      AV,33.9383,-118.2494
4037,201604484,2020-01-13,730,16,Foothill,330,BURGLARY FROM VEHICLE,23,F,9400    REMICK                       AV,34.2397,-118.4149
4038,201610349,2020-06-23,2255,16,Foothill,310,BURGLARY,0,M,7700    FOOTHILL                     BL,34.2595,-118.293
4039,200705873,2020-02-09,1230,7,Wilshire,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,600 N  LA BREA                      AV,34.0819,-118.3441
4040,202018728,2020-12-23,1400,20,Olympic,410,"BURGLARY FROM VEHICLE, ATTEMPTED",73,F,1100 S  OXFORD                       AV,34.0499,-118.3074
4041,201210296,2020-04-03,2020,12,77th Street,753,DISCHARGE FIREARMS/SHOTS FIRED,0,X,5200 S  SAINT ANDREWS                PL,33.9951,-118.3113
4042,200814018,2020-09-13,200,8,West LA,626,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,SEPULVEDA                    BL,34.126,-118.4784
4043,202106218,2020-02-18,1800,21,Topanga,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,21800    LANARK                       ST,34.2176,-118.6031
4044,200706040,2020-02-10,1500,7,Wilshire,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,38,M,1400 S  LA CIENEGA                   BL,34.0534,-118.3762
4045,201809184,2020-04-05,1300,18,Southeast,624,BATTERY - SIMPLE ASSAULT,26,F,9500    MAIE                         AV,33.9507,-118.2445
4046,200106897,2020-02-11,800,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,M,300 S  SPRING                       ST,34.0502,-118.2487
4047,200314826,2020-07-27,1340,3,Southwest,480,BIKE - STOLEN,23,M,2600    ELLENDALE                    PL,34.0307,-118.2923
4048,200404380,2020-01-09,1600,4,Hollenbeck,510,VEHICLE - STOLEN,0,nan,ROSALIND                     PL,34.0227,-118.2113
4049,201420829,2020-11-26,135,14,Pacific,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),22,F,200    CULVER                       BL,33.9589,-118.4484
